iter	Passed	Remaining
0	57	57709
1	61	30636
2	64	21330
3	71	17764
4	73	14630
5	76	12617
6	78	11066
7	79	9869
8	81	8959
9	84	8321
10	86	7801
11	89	7334
12	93	7094
13	110	7770
14	119	7872
15	128	7919
16	130	7550
17	133	7294
18	138	7147
19	148	7290
20	155	7264
21	160	7138
22	164	6999
23	168	6868
24	175	6846
25	178	6675
26	180	6503
27	183	6357
28	185	6198
29	186	6044
30	189	5933
31	192	5812
32	201	5917
33	204	5815
34	207	5717
35	209	5611
36	211	5507
37	230	5828
38	232	5716
39	233	5607
40	235	5502
41	237	5420
42	243	5422
43	245	5337
44	248	5273
45	254	5275
46	259	5267
47	261	5193
48	265	5146
49	273	5197
50	281	5247
51	288	5261
52	292	5228
53	295	5183
54	300	5156
55	306	5174
56	309	5128
57	313	5088
58	319	5094
59	321	5036
60	323	4976
61	326	4946
62	330	4921
63	335	4903
64	339	4882
65	341	4836
66	358	4996
67	376	5165
68	379	5117
69	381	5067
70	392	5132
71	403	5204
72	411	5231
73	416	5207
74	431	5323
75	434	5282
76	443	5320
77	448	5306
78	451	5258
79	454	5229
80	457	5187
81	459	5148
82	463	5123
83	466	5082
84	470	5069
85	478	5089
86	485	5091
87	488	5062
88	503	5156
89	506	5123
90	519	5188
91	522	5158
92	524	5115
93	526	5078
94	528	5036
95	533	5020
96	536	4991
97	538	4957
98	541	4924
99	561	5049
100	564	5023
101	569	5010
102	579	5044
103	582	5021
104	594	5071
105	599	5053
106	604	5042
107	607	5015
108	610	4990
109	612	4957
110	614	4925
111	625	4959
112	629	4940
113	633	4924
114	635	4891
115	638	4862
116	642	4851
117	645	4828
118	653	4841
119	657	4823
120	660	4796
121	664	4780
122	667	4756
123	669	4730
124	674	4723
125	679	4710
126	681	4682
127	682	4652
128	685	4627
129	688	4608
130	692	4596
131	704	4635
132	707	4614
133	710	4592
134	713	4570
135	717	4560
136	719	4532
137	721	4508
138	723	4482
139	725	4457
140	727	4430
141	728	4404
142	731	4385
143	734	4365
144	736	4343
145	741	4336
146	744	4321
147	756	4353
148	758	4330
149	760	4310
150	765	4304
151	769	4295
152	779	4317
153	786	4323
154	793	4324
155	801	4334
156	804	4322
157	821	4376
158	824	4361
159	827	4342
160	832	4338
161	839	4341
162	841	4322
163	843	4299
164	845	4276
165	847	4258
166	850	4240
167	853	4228
168	857	4216
169	860	4201
170	862	4179
171	863	4158
172	865	4139
173	868	4120
174	870	4101
175	872	4083
176	875	4072
177	879	4061
178	881	4042
179	884	4027
180	886	4010
181	888	3992
182	891	3978
183	893	3963
184	895	3945
185	900	3943
186	902	3925
187	904	3906
188	906	3889
189	907	3870
190	909	3853
191	911	3834
192	912	3815
193	914	3797
194	916	3782
195	920	3775
196	923	3765
197	925	3749
198	927	3735
199	929	3719
200	931	3704
201	933	3687
202	935	3673
203	938	3662
204	943	3657
205	954	3679
206	958	3671
207	962	3666
208	968	3666
209	974	3667
210	982	3672
211	989	3678
212	991	3664
213	993	3648
214	995	3635
215	999	3629
216	1011	3651
217	1015	3644
218	1018	3632
219	1020	3619
220	1024	3612
221	1026	3596
222	1028	3584
223	1030	3570
224	1034	3563
225	1036	3549
226	1038	3535
227	1043	3533
228	1045	3519
229	1047	3505
230	1062	3537
231	1063	3521
232	1065	3506
233	1066	3490
234	1073	3495
235	1075	3483
236	1078	3470
237	1080	3458
238	1082	3447
239	1085	3436
240	1086	3423
241	1089	3412
242	1091	3399
243	1092	3385
244	1094	3374
245	1096	3360
246	1098	3347
247	1101	3339
248	1103	3328
249	1107	3321
250	1112	3318
251	1113	3306
252	1115	3293
253	1117	3280
254	1119	3270
255	1124	3268
256	1125	3254
257	1128	3245
258	1131	3236
259	1132	3223
260	1134	3211
261	1137	3202
262	1138	3191
263	1142	3184
264	1147	3182
265	1148	3170
266	1151	3161
267	1153	3151
268	1155	3141
269	1158	3132
270	1161	3125
271	1163	3114
272	1168	3111
273	1172	3106
274	1174	3096
275	1176	3085
276	1178	3075
277	1180	3065
278	1182	3056
279	1187	3052
280	1190	3046
281	1192	3036
282	1195	3028
283	1197	3018
284	1199	3009
285	1216	3037
286	1218	3027
287	1221	3019
288	1223	3010
289	1231	3016
290	1236	3013
291	1238	3003
292	1245	3004
293	1247	2995
294	1257	3005
295	1259	2994
296	1260	2984
297	1263	2976
298	1266	2968
299	1269	2962
300	1271	2953
301	1273	2943
302	1275	2933
303	1276	2923
304	1278	2913
305	1279	2901
306	1281	2892
307	1283	2883
308	1285	2874
309	1286	2864
310	1288	2854
311	1290	2845
312	1292	2836
313	1294	2827
314	1296	2818
315	1298	2810
316	1302	2807
317	1304	2798
318	1307	2791
319	1310	2784
320	1312	2775
321	1314	2767
322	1317	2761
323	1319	2753
324	1321	2744
325	1322	2734
326	1324	2726
327	1326	2716
328	1327	2707
329	1329	2698
330	1331	2690
331	1333	2682
332	1335	2675
333	1337	2666
334	1339	2658
335	1342	2652
336	1344	2644
337	1345	2635
338	1347	2627
339	1348	2618
340	1350	2610
341	1352	2602
342	1355	2596
343	1357	2587
344	1358	2578
345	1360	2570
346	1361	2562
347	1363	2554
348	1365	2547
349	1371	2546
350	1372	2537
351	1374	2530
352	1375	2521
353	1377	2512
354	1378	2504
355	1379	2495
356	1381	2487
357	1382	2479
358	1383	2470
359	1386	2464
360	1388	2457
361	1390	2450
362	1392	2442
363	1393	2435
364	1395	2427
365	1396	2419
366	1398	2411
367	1399	2404
368	1401	2397
369	1403	2390
370	1404	2382
371	1406	2374
372	1408	2367
373	1409	2359
374	1411	2353
375	1413	2345
376	1414	2337
377	1415	2329
378	1417	2321
379	1421	2320
380	1424	2313
381	1425	2306
382	1427	2300
383	1429	2293
384	1431	2285
385	1432	2279
386	1434	2271
387	1435	2264
388	1437	2257
389	1444	2258
390	1447	2254
391	1460	2265
392	1463	2260
393	1466	2255
394	1477	2262
395	1479	2255
396	1481	2249
397	1485	2247
398	1489	2243
399	1496	2244
400	1505	2249
401	1514	2252
402	1518	2249
403	1521	2244
404	1528	2245
405	1530	2238
406	1531	2231
407	1534	2226
408	1537	2221
409	1540	2216
410	1543	2211
411	1546	2206
412	1548	2200
413	1553	2198
414	1555	2193
415	1571	2205
416	1573	2199
417	1575	2193
418	1578	2188
419	1580	2182
420	1590	2187
421	1592	2180
422	1593	2173
423	1595	2167
424	1607	2175
425	1610	2169
426	1612	2163
427	1614	2157
428	1616	2152
429	1621	2149
430	1624	2144
