formula,Density Score,Peak Score
Ca3Au,2.550,0.231
Sr6Sn2NO,2.517,1.404
Li3Au,2.163,0.577
SrLi4N2,2.069,0.315
Li7Sn2,1.991,0.331
LiB,1.891,1.513
Er2ZnRu,1.600,0.664
Sr3MnN3,1.554,1.338
LiErGe,1.489,-0.718
Ca3BiSb,1.415,-0.401
Rb3Mg,1.405,-0.792
P3N5,1.392,2.093
Sm2AgSn,1.094,0.411
ErB2Rh2C,1.074,1.136
CrPO4,1.029,1.273
LiLuPt2,1.024,0.057
Li4UO5,0.980,0.189
Yb2AgSn,0.855,0.164
Pr2ZnHg,0.769,0.146
Nd2CdIn,0.724,-0.006
ZrH3,0.698,1.465
LiTmIn2,0.664,-0.011
CaSmZn2,0.663,0.006
HoTmMg2,0.655,-0.093
MnAlRh2,0.589,0.706
NdTmTl2,0.572,-0.154
Yb2SbAu,0.550,0.025
CaPd3O4,0.535,0.396
LiTmHg2,0.530,-0.152
TiBiRh,0.504,-0.119
Mn3O4,0.487,1.253
BeGaRh2,0.478,0.529
Ca2MnO4,0.448,1.232
NdBPd3,0.413,0.764
Sc2CoRu,0.345,0.530
Fe2W,0.336,0.298
P2Pb2O7,0.299,0.793
DyIr3,0.251,0.784
Sm2Zr2O7,0.245,0.518
Al(SnO2)2,0.239,0.597
CeIr2,0.220,0.193
Na2Hf2O5,0.149,0.811
TbGaRh2,0.141,0.568
Cu3P,0.107,0.468
Hf4N3,0.100,-0.254
MgSiN2,0.079,0.395
CaCu2O3,0.059,0.069
ThSiO4,0.037,-0.492
Mg(BeN)2,0.031,0.627
CrGaP2,0.016,0.324
TmHfRu2,-0.016,-0.787
ScNbOs2,-0.049,0.046
SmMn2O5,-0.086,-0.697
V2C,-0.108,-0.498
HfPbO3,-0.112,-0.669
ZnCo3C,-0.135,-0.062
Ho2CF2,-0.154,0.218
DyCuSeO,-0.164,-0.112
Pr(CoSi)2,-0.165,0.122
Ho(SiRu)2,-0.170,-0.620
BaTiS3,-0.180,0.146
Fe3Sn2,-0.186,-0.064
Cs2CrCl4,-0.209,0.188
Cr2FeS4,-0.211,-0.023
CeNiC2,-0.213,-0.370
U2CrN3,-0.215,0.219
Ti2GaC,-0.217,-0.776
K2SnCl6,-0.251,0.584
Nd(CoSi)2,-0.267,-0.063
Ga2CoS4,-0.288,-0.104
RbSbO3,-0.320,0.371
TaNiGe,-0.359,-1.150
MnSbPd2,-0.385,-0.910
LiAlPt2,-0.412,0.113
Ho2Cr2C3,-0.423,-0.164
TbNi2,-0.426,-0.079
BaTe2,-0.512,-0.381
YNiSb,-0.556,0.030
Ni2Ge,-0.581,-0.717
Sc3AlC,-0.593,-1.014
SF6,-0.634,-0.957
AsPdSe,-0.672,0.008
Cs2PbCl6,-0.686,-0.135
Cs2RbInF6,-0.757,-0.452
LaCu2,-0.871,-0.770
ZrGeTe,-0.885,-1.242
CuAs,-0.928,-0.594
YMg2,-1.003,-0.099
In2Se3,-1.004,-1.543
Rb2Cr(BrCl)2,-1.038,-1.106
MgS,-1.101,-1.002
Sc,-1.127,-1.801
LiZnAu2,-1.145,-0.637
Sr(ZnGe)2,-1.172,-1.091
CdCl2,-1.262,-1.891
ErCdCu4,-1.309,-0.989
TbCd3,-1.325,-0.438
Sc2CdAg,-1.330,-1.893
Ba(CdAs)2,-1.361,-1.590
HoCd3,-1.599,-0.955
